latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
25.84485,83.7335,326.97,0.71,0.75,2026-01-13,637,N,VIIRS,n,2.0NRT,290.6,3.35,D
26.75196,84.33796,328.53,0.62,0.72,2026-01-13,637,N,VIIRS,n,2.0NRT,292.09,3.62,D
28.39377,84.46178,328.26,0.57,0.69,2026-01-13,639,N,VIIRS,n,2.0NRT,287.22,3.75,D
28.72674,82.9506,334.96,0.68,0.74,2026-01-13,639,N,VIIRS,n,2.0NRT,283.27,11.32,D
28.73236,82.94481,367,0.68,0.74,2026-01-13,639,N,VIIRS,h,2.0NRT,295.9,38.92,D
28.73419,82.95145,355.1,0.68,0.74,2026-01-13,639,N,VIIRS,n,2.0NRT,291.59,38.92,D
24.65574,84.01574,354.67,0.39,0.59,2026-01-13,817,N,VIIRS,n,2.0NRT,296.85,6.69,D
24.65608,84.01964,367,0.39,0.59,2026-01-13,817,N,VIIRS,h,2.0NRT,297.12,6.69,D
24.66124,84.0152,356.33,0.39,0.59,2026-01-13,817,N,VIIRS,l,2.0NRT,292.36,6.89,D
24.66158,84.0191,349.99,0.39,0.59,2026-01-13,817,N,VIIRS,n,2.0NRT,295.16,6.89,D
24.88161,84.19106,325.48,0.4,0.6,2026-01-13,817,N,VIIRS,n,2.0NRT,295.34,3.2,D
24.95249,82.35771,331.02,0.61,0.54,2026-01-13,817,N,VIIRS,n,2.0NRT,293.48,2.32,D
25.3514,82.09816,334.26,0.6,0.53,2026-01-13,820,N,VIIRS,n,2.0NRT,295.51,6.36,D
25.35342,81.87093,339.86,0.58,0.52,2026-01-13,820,N,VIIRS,n,2.0NRT,296.72,4.54,D
25.35685,81.86843,339.54,0.58,0.52,2026-01-13,820,N,VIIRS,n,2.0NRT,297.43,6.63,D
25.3574,81.87425,334.74,0.58,0.52,2026-01-13,820,N,VIIRS,n,2.0NRT,296.39,6.63,D
25.5127,84.04556,332.38,0.4,0.6,2026-01-13,820,N,VIIRS,n,2.0NRT,296.14,2.04,D
25.51449,82.43169,330.25,0.63,0.54,2026-01-13,820,N,VIIRS,n,2.0NRT,294.07,2.84,D
25.51501,82.42744,325.26,0.63,0.54,2026-01-13,820,N,VIIRS,n,2.0NRT,295.09,3.69,D
25.69753,82.83139,327.86,0.33,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,294.39,1.73,D
25.7413,77.17214,344,0.47,0.4,2026-01-13,820,N,VIIRS,n,2.0NRT,302.11,5.09,D
25.74496,77.17157,332.65,0.47,0.4,2026-01-13,820,N,VIIRS,n,2.0NRT,297.53,5.09,D
25.84528,81.9725,339.29,0.59,0.53,2026-01-13,820,N,VIIRS,n,2.0NRT,295.76,13.29,D
25.97009,81.66428,331.28,0.57,0.52,2026-01-13,820,N,VIIRS,n,2.0NRT,295.25,2.71,D
25.97417,81.66323,334.33,0.57,0.52,2026-01-13,820,N,VIIRS,n,2.0NRT,294.92,4.5,D
26.02601,81.95554,331.67,0.6,0.53,2026-01-13,820,N,VIIRS,n,2.0NRT,295.65,3.96,D
26.13784,83.89274,325.31,0.39,0.6,2026-01-13,820,N,VIIRS,n,2.0NRT,294.37,1.69,D
26.16586,81.29375,339.99,0.54,0.51,2026-01-13,820,N,VIIRS,n,2.0NRT,296.84,11.52,D
26.28372,81.86143,326.15,0.59,0.53,2026-01-13,820,N,VIIRS,l,2.0NRT,296.99,4.09,D
26.32228,80.53825,348.8,0.49,0.49,2026-01-13,820,N,VIIRS,n,2.0NRT,300.23,17.68,D
26.34608,82.35805,339.57,0.64,0.54,2026-01-13,820,N,VIIRS,n,2.0NRT,295.83,8.93,D
26.38257,82.1582,330.92,0.62,0.54,2026-01-13,820,N,VIIRS,n,2.0NRT,295.26,4.26,D
26.43946,83.32854,328.65,0.37,0.58,2026-01-13,820,N,VIIRS,n,2.0NRT,296.79,2.2,D
26.56306,80.67703,325.18,0.5,0.49,2026-01-13,820,N,VIIRS,n,2.0NRT,292.73,2.5,D
26.59072,84.43462,330.27,0.43,0.62,2026-01-13,820,N,VIIRS,n,2.0NRT,295.34,2.7,D
26.95354,81.744,339.18,0.59,0.53,2026-01-13,820,N,VIIRS,n,2.0NRT,294.56,6.75,D
26.95531,81.7427,339.28,0.59,0.53,2026-01-13,820,N,VIIRS,n,2.0NRT,294.29,10.32,D
27.00842,84.25011,328.61,0.42,0.61,2026-01-13,820,N,VIIRS,n,2.0NRT,294.44,2.06,D
27.01414,84.24959,329.67,0.42,0.61,2026-01-13,820,N,VIIRS,n,2.0NRT,293.79,2.06,D
27.06781,83.7369,338.39,0.39,0.6,2026-01-13,820,N,VIIRS,n,2.0NRT,294.91,2.89,D
27.13139,83.42788,326.15,0.38,0.59,2026-01-13,820,N,VIIRS,n,2.0NRT,295.27,3.27,D
27.15801,83.41746,325.88,0.38,0.59,2026-01-13,820,N,VIIRS,n,2.0NRT,295.24,3.94,D
27.15833,83.42135,367,0.38,0.59,2026-01-13,820,N,VIIRS,h,2.0NRT,296.71,3.94,D
27.15936,84.15186,327.51,0.42,0.61,2026-01-13,820,N,VIIRS,n,2.0NRT,295.28,2.35,D
27.36779,79.75,333.64,0.45,0.47,2026-01-13,820,N,VIIRS,n,2.0NRT,291.98,5.04,D
27.38915,83.53302,332.18,0.39,0.59,2026-01-13,820,N,VIIRS,n,2.0NRT,293.49,2.76,D
