latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
23.72181,78.98463,335.08,0.38,0.36,2026-01-14,800,N,VIIRS,n,2.0NRT,303.99,3.28,D
23.89122,79.88081,328.23,0.39,0.36,2026-01-14,800,N,VIIRS,n,2.0NRT,300.37,1.61,D
24.1416,82.63554,328.35,0.49,0.4,2026-01-14,800,N,VIIRS,l,2.0NRT,299.45,3.82,D
24.14265,82.63708,335.17,0.49,0.4,2026-01-14,800,N,VIIRS,n,2.0NRT,300.9,3.48,D
24.15217,78.78765,327.83,0.38,0.36,2026-01-14,800,N,VIIRS,l,2.0NRT,300.19,3.15,D
24.29753,79.12183,335.23,0.39,0.36,2026-01-14,800,N,VIIRS,n,2.0NRT,302.27,5.33,D
24.68324,79.98648,330.52,0.4,0.37,2026-01-14,800,N,VIIRS,n,2.0NRT,299.14,1.66,D
25.11682,81.33483,331.59,0.44,0.38,2026-01-14,800,N,VIIRS,n,2.0NRT,300.36,1.88,D
25.32,81.21606,334.32,0.44,0.38,2026-01-14,800,N,VIIRS,n,2.0NRT,298.37,2.97,D
25.39853,82.61867,327.43,0.51,0.41,2026-01-14,800,N,VIIRS,n,2.0NRT,294.87,2.6,D
25.40804,81.74089,325.39,0.46,0.39,2026-01-14,800,N,VIIRS,n,2.0NRT,297.5,1.56,D
25.53887,81.1338,332.86,0.44,0.38,2026-01-14,800,N,VIIRS,n,2.0NRT,298.57,2.4,D
25.67301,83.40269,325.59,0.56,0.43,2026-01-14,800,N,VIIRS,n,2.0NRT,295.14,1.8,D
25.74048,83.20393,326.85,0.55,0.43,2026-01-14,800,N,VIIRS,n,2.0NRT,294.27,3.79,D
25.86741,83.26895,326.68,0.56,0.43,2026-01-14,800,N,VIIRS,n,2.0NRT,294.67,3.5,D
25.87046,83.93359,326.32,0.4,0.44,2026-01-14,800,N,VIIRS,n,2.0NRT,295.42,3.19,D
25.87352,79.19804,341.26,0.39,0.36,2026-01-14,800,N,VIIRS,n,2.0NRT,303.13,16.3,D
25.92897,84.40972,331.06,0.43,0.46,2026-01-14,800,N,VIIRS,n,2.0NRT,295.69,3.9,D
25.9851,81.30199,330.45,0.45,0.39,2026-01-14,800,N,VIIRS,n,2.0NRT,295.8,1.8,D
